site_id,site_name,timestamp,NO (µg/m³),NO_percentage,NO_flag,NO2 (µg/m³),NO2_flag,NO2_percentage,NOx (ppb),NOx_flag,NOx_percentage,original_40,Ozone (µg/m³),Ozone_flag,Ozone_percentage,PM10 (µg/m³),PM10_flag,PM10_percentage,PM2.5 (µg/m³),PM2.5_flag,PM25_percentage,year
site_5479,MIT-Daudpur Kothi Muzaffarpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5480,Nagla Bhau Firozabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5481,D M Colony Bihar Sharif,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5482,Rohta Agra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5483,Omex Eternity Vrindavan,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5484,Nagar Nigam Prayagraj,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5485,Dada Peer Sasaram,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5489,Dangi Tola Rajgir,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5490,Town Hall Munger,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5491,Sector 22 Chandigarh,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5500,FTI Kidwai Nagar Kanpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5501,Shahjahan Garden Agra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5537,Employment Office Moradabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5538,New DM Office Arrah,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5539,Kharahiya Basti Araria,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5540,DRCC Anandpur Begusarai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5541,Mayaganj Bhagalpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5543,DM Office Kachari Chowk Bhagalpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5544,Gurdeo Nagar Aurangabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5545,Darshan Nagar Chhapra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5546,Mirchaibari Katihar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5547,SDM Office Khagra Kishanganj,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5548,Kareemganj Gaya,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5549,Mariam Nagar Purnia,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5550,Forest Rest House Manguraha,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5551,Police Line Saharsa,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5552,DM Office Kasipur Samastipur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5553,Chitragupta Nagar Siwan,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5554,Buddhi Vihar Moradabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5555,Jigar Colony Moradabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5556,Eco Herbal Park Moradabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5582,Sector-53 Chandigarh,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5583,Shivaji Nagar Jhansi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5584,Vibhab Nagar Firozabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5585,Sardar Patel Inter College Baghpat,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5586,HIMUDA Complex Phase-1 Baddi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5587,Bardowali Agartala Tripura,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5590,Zero Point GICI Gangtok,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5591,Manipur University Imphal Manipur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5592,DM College of Science Imphal Manipur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5593,JN Stadium Shillong Meghalaya,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5595,New Malakpet Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5596,ECIL Kapra Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5597,IITH Kandi Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5598,Somajiguda Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5599,Kompally Municipal Office Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5600,Nacharam TSIIC IALA Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5601,Rajendra Nagar Bareilly,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5602,Ramachandrapuram Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5603,Kalindi Kunj Khurja,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5604,Kokapet Hyderabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5605,Crescent University Chengalpattu,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
